,years,Category,comments,views
160,2006,personal/work,108,966439
161,2006,personal/work,108,966439
162,2006,culture,108,966439
163,2006,technology/science,108,966439
164,2006,education,108,966439
165,2006,technology/science,108,966439
166,2006,technology/science,108,966439
167,2006,personal/work,185,6141440
168,2006,culture,185,6141440
169,2006,personal/work,185,6141440
170,2006,culture,185,6141440
171,2006,culture,185,6141440
172,2006,technology/science,185,6141440
173,2006,culture,185,6141440
174,2006,culture,185,6141440
175,2006,culture,185,6141440
176,2006,technology/science,185,6141440
177,2006,personal/work,50,518624
178,2006,personal/work,50,518624
179,2006,personal/work,50,518624
180,2006,culture,50,518624
181,2006,technology/science,50,518624
182,2006,culture,50,518624
183,2006,technology/science,50,518624
184,2006,personal/work,50,518624
185,2006,technology/science,556,9260764
186,2006,culture,556,9260764
187,2006,technology/science,556,9260764
188,2006,technology/science,556,9260764
189,2006,personal/work,556,9260764
190,2006,technology/science,556,9260764
191,2006,personal/work,556,9260764
192,2006,technology/science,556,9260764
193,2006,culture,117,1131864
194,2006,culture,117,1131864
195,2006,society,117,1131864
196,2006,society,117,1131864
197,2006,personal/work,117,1131864
198,2006,culture,117,1131864
199,2006,personal/work,117,1131864
200,2006,society,117,1131864
201,2006,society,117,1131864
202,2006,environment/nature,184,1096862
203,2006,society,184,1096862
204,2006,culture,184,1096862
205,2006,environment/nature,184,1096862
206,2006,society,184,1096862
207,2006,society,184,1096862
208,2006,society,184,1096862
209,2006,society,184,1096862
210,2006,technology/science,184,1096862
211,2006,society,507,2885999
212,2006,society,507,2885999
213,2006,society,507,2885999
214,2006,society,507,2885999
215,2006,society,507,2885999
216,2006,society,507,2885999
217,2006,society,507,2885999
218,2006,society,507,2885999
219,2006,personal/work,95,2863214
220,2006,society,95,2863214
221,2006,culture,95,2863214
222,2006,society,95,2863214
223,2006,personal/work,95,2863214
224,2006,technology/science,95,2863214
225,2006,personal/work,355,7023562
226,2006,personal/work,355,7023562
227,2006,technology/science,355,7023562
228,2006,culture,355,7023562
229,2006,technology/science,355,7023562
230,2006,technology/science,355,7023562
231,2006,technology/science,355,7023562
232,2006,culture,355,7023562
233,2006,personal/work,355,7023562
234,2006,personal/work,970,14689301
235,2006,personal/work,970,14689301
236,2006,personal/work,970,14689301
237,2006,culture,970,14689301
238,2006,technology/science,970,14689301
239,2006,personal/work,970,14689301
240,2006,technology/science,970,14689301
241,2006,technology/science,970,14689301
242,2006,personal/work,991,10000702
243,2006,personal/work,991,10000702
244,2006,culture,991,10000702
245,2006,personal/work,991,10000702
246,2006,technology/science,991,10000702
247,2006,personal/work,991,10000702
248,2006,personal/work,991,10000702
249,2006,personal/work,991,10000702
250,2006,technology/science,991,10000702
251,2006,technology/science,213,1030267
252,2006,society,213,1030267
253,2006,society,213,1030267
254,2006,society,213,1030267
255,2006,society,213,1030267
256,2006,education,213,1030267
257,2006,society,612,3277740
258,2006,society,612,3277740
259,2006,society,612,3277740
260,2006,society,612,3277740
261,2006,society,612,3277740
262,2006,society,612,3277740
263,2006,society,612,3277740
264,2006,society,612,3277740
265,2006,environment/nature,74,503517
266,2006,personal/work,74,503517
267,2006,personal/work,74,503517
268,2006,culture,74,503517
269,2006,society,74,503517
270,2006,society,74,503517
271,2006,society,74,503517
272,2006,society,74,503517
273,2006,society,74,503517
274,2006,society,74,503517
275,2006,society,74,503517
276,2006,technology/science,74,503517
277,2006,society,74,503517
278,2006,society,58,705389
279,2006,personal/work,58,705389
280,2006,personal/work,58,705389
281,2006,culture,58,705389
282,2006,society,58,705389
283,2006,society,58,705389
284,2006,society,58,705389
285,2006,society,58,705389
286,2006,society,58,705389
287,2006,society,58,705389
288,2006,personal/work,43,580891
289,2006,culture,43,580891
290,2006,society,43,580891
291,2006,technology/science,43,580891
292,2006,culture,43,580891
293,2006,technology/science,43,580891
294,2006,personal/work,67,809226
295,2006,personal/work,67,809226
296,2006,culture,67,809226
297,2006,technology/science,67,809226
298,2006,technology/science,67,809226
299,2006,technology/science,67,809226
300,2006,technology/science,67,809226
301,2006,technology/science,67,809226
302,2006,technology/science,67,809226
303,2006,technology/science,67,809226
304,2006,technology/science,67,809226
305,2006,technology/science,67,809226
306,2006,technology/science,186,2028451
307,2006,technology/science,186,2028451
308,2006,personal/work,186,2028451
309,2006,technology/science,186,2028451
310,2006,technology/science,186,2028451
311,2006,technology/science,186,2028451
312,2006,technology/science,186,2028451
313,2006,technology/science,186,2028451
314,2006,technology/science,186,2028451
315,2006,technology/science,186,2028451
316,2006,environment/nature,57,745231
317,2006,culture,57,745231
318,2006,technology/science,57,745231
319,2006,technology/science,57,745231
320,2006,personal/work,57,745231
321,2006,personal/work,57,745231
322,2006,culture,57,745231
323,2006,technology/science,57,745231
324,2006,personal/work,57,745231
325,2006,technology/science,112,718649
326,2006,society,112,718649
327,2006,personal/work,112,718649
328,2006,culture,112,718649
329,2006,society,112,718649
330,2006,society,112,718649
331,2006,society,112,718649
332,2006,society,112,718649
333,2006,education,58,975107
334,2006,culture,58,975107
335,2006,society,58,975107
336,2006,culture,58,975107
337,2006,society,58,975107
338,2006,environment/nature,58,975107
339,2006,society,58,975107
340,2006,environment/nature,58,975107
341,2006,society,58,975107
342,2006,education,33,382996
343,2006,personal/work,33,382996
344,2006,society,33,382996
345,2006,society,33,382996
346,2006,society,33,382996
347,2006,society,33,382996
348,2006,society,33,382996
349,2006,society,33,382996
350,2006,culture,105,1053758
351,2006,society,105,1053758
352,2006,society,105,1053758
353,2006,society,105,1053758
354,2006,society,105,1053758
355,2006,culture,494,5364639
356,2006,culture,494,5364639
357,2006,personal/work,494,5364639
358,2006,personal/work,494,5364639
359,2006,culture,494,5364639
360,2006,society,494,5364639
361,2006,personal/work,233,2434344
362,2006,society,233,2434344
363,2006,personal/work,233,2434344
364,2006,culture,233,2434344
365,2006,society,233,2434344
366,2006,society,233,2434344
367,2006,society,233,2434344
368,2006,society,233,2434344
369,2006,society,233,2434344
370,2006,personal/work,149,1536873
371,2006,culture,149,1536873
372,2006,society,149,1536873
373,2006,society,149,1536873
374,2006,education,149,1536873
375,2006,society,149,1536873
376,2006,society,149,1536873
377,2006,technology/science,149,1536873
378,2006,personal/work,52,904215
379,2006,personal/work,52,904215
380,2006,culture,52,904215
381,2006,personal/work,52,904215
382,2006,culture,52,904215
383,2006,culture,52,904215
384,2006,technology/science,52,904215
385,2006,culture,52,904215
386,2006,technology/science,52,904215
387,2006,personal/work,52,904215
388,2006,personal/work,578,10841210
389,2006,culture,578,10841210
390,2006,culture,578,10841210
391,2006,personal/work,578,10841210
392,2006,technology/science,578,10841210
393,2006,personal/work,578,10841210
394,2006,personal/work,578,10841210
395,2006,culture,95,1813665
396,2006,culture,95,1813665
397,2006,personal/work,95,1813665
398,2006,culture,95,1813665
399,2006,technology/science,95,1813665
400,2006,technology/science,95,1813665
401,2006,culture,199,2299265
402,2006,technology/science,199,2299265
403,2006,technology/science,199,2299265
404,2006,technology/science,199,2299265
405,2006,technology/science,199,2299265
406,2006,technology/science,199,2299265
407,2006,personal/work,199,2299265
408,2006,technology/science,199,2299265
409,2007,personal/work,85,673036
410,2007,technology/science,85,673036
411,2007,culture,85,673036
412,2007,technology/science,85,673036
413,2007,technology/science,85,673036
414,2007,technology/science,85,673036
415,2007,technology/science,85,673036
416,2007,technology/science,85,673036
417,2007,technology/science,85,673036
418,2007,technology/science,85,673036
419,2007,technology/science,499,1391142
420,2007,technology/science,499,1391142
421,2007,personal/work,499,1391142
422,2007,personal/work,499,1391142
423,2007,environment/nature,499,1391142
424,2007,culture,499,1391142
425,2007,technology/science,499,1391142
426,2007,technology/science,499,1391142
427,2007,environment/nature,499,1391142
428,2007,technology/science,499,1391142
429,2007,technology/science,371,2532851
430,2007,culture,371,2532851
431,2007,environment/nature,371,2532851
432,2007,culture,371,2532851
433,2007,technology/science,371,2532851
434,2007,education,371,2532851
435,2007,technology/science,371,2532851
436,2007,personal/work,59,882034
437,2007,culture,59,882034
438,2007,culture,59,882034
439,2007,technology/science,59,882034
440,2007,culture,59,882034
441,2007,technology/science,59,882034
442,2007,technology/science,59,882034
443,2007,technology/science,59,882034
444,2007,personal/work,59,882034
445,2007,technology/science,203,2121177
446,2007,environment/nature,203,2121177
447,2007,technology/science,203,2121177
448,2007,technology/science,203,2121177
449,2007,technology/science,203,2121177
450,2007,technology/science,203,2121177
451,2007,technology/science,203,2121177
452,2007,personal/work,203,2121177
453,2007,technology/science,203,2121177
454,2007,personal/work,130,1090180
455,2007,culture,130,1090180
456,2007,technology/science,130,1090180
457,2007,technology/science,130,1090180
458,2007,technology/science,130,1090180
459,2007,technology/science,47,684519
460,2007,culture,47,684519
461,2007,technology/science,47,684519
462,2007,technology/science,47,684519
463,2007,technology/science,47,684519
464,2007,education,47,684519
465,2007,education,47,684519
466,2007,technology/science,47,684519
467,2007,technology/science,47,684519
468,2007,personal/work,91,1409327
469,2007,personal/work,91,1409327
470,2007,culture,91,1409327
471,2007,technology/science,91,1409327
472,2007,education,91,1409327
473,2007,technology/science,91,1409327
474,2007,culture,91,1409327
475,2007,technology/science,91,1409327
476,2007,technology/science,91,1409327
477,2007,culture,222,3051507
478,2007,culture,222,3051507
479,2007,environment/nature,222,3051507
480,2007,culture,222,3051507
481,2007,technology/science,222,3051507
482,2007,technology/science,222,3051507
483,2007,education,111,978825
484,2007,technology/science,111,978825
485,2007,culture,111,978825
486,2007,culture,111,978825
487,2007,education,111,978825
488,2007,personal/work,111,978825
489,2007,culture,111,978825
490,2007,culture,111,978825
491,2007,technology/science,111,978825
492,2007,culture,111,978825
493,2007,personal/work,111,978825
494,2007,technology/science,111,978825
495,2007,education,28,442553
496,2007,personal/work,28,442553
497,2007,technology/science,28,442553
498,2007,education,28,442553
499,2007,technology/science,28,442553
500,2007,technology/science,28,442553
501,2007,technology/science,28,442553
502,2007,technology/science,28,442553
503,2007,technology/science,28,442553
504,2007,technology/science,64,691814
505,2007,technology/science,64,691814
506,2007,culture,64,691814
507,2007,education,64,691814
508,2007,technology/science,64,691814
509,2007,technology/science,64,691814
510,2007,technology/science,64,691814
511,2007,technology/science,64,691814
512,2007,technology/science,64,691814
513,2007,technology/science,64,691814
514,2007,personal/work,226,2441805
515,2007,culture,226,2441805
516,2007,personal/work,226,2441805
517,2007,technology/science,226,2441805
518,2007,education,226,2441805
519,2007,personal/work,226,2441805
520,2007,personal/work,226,2441805
521,2007,technology/science,226,2441805
522,2007,personal/work,226,2441805
523,2007,technology/science,97,849859
524,2007,education,97,849859
525,2007,personal/work,97,849859
526,2007,culture,97,849859
527,2007,technology/science,97,849859
528,2007,technology/science,97,849859
529,2007,technology/science,97,849859
530,2007,technology/science,97,849859
531,2007,education,89,1335732
532,2007,environment/nature,89,1335732
533,2007,environment/nature,89,1335732
534,2007,technology/science,89,1335732
535,2007,technology/science,89,1335732
536,2007,technology/science,89,1335732
537,2007,environment/nature,89,1335732
538,2007,environment/nature,89,1335732
539,2007,technology/science,89,1335732
540,2007,technology/science,89,1335732
541,2007,personal/work,107,1262674
542,2007,culture,107,1262674
543,2007,culture,107,1262674
544,2007,technology/science,107,1262674
545,2007,culture,107,1262674
546,2007,technology/science,107,1262674
547,2007,technology/science,107,1262674
548,2007,technology/science,107,1262674
549,2007,personal/work,107,1262674
550,2007,technology/science,107,1262674
551,2007,technology/science,161,1663001
552,2007,environment/nature,161,1663001
553,2007,culture,161,1663001
554,2007,environment/nature,161,1663001
555,2007,technology/science,161,1663001
556,2007,environment/nature,161,1663001
557,2007,culture,161,1663001
558,2007,technology/science,161,1663001
559,2007,personal/work,220,5570544
560,2007,personal/work,220,5570544
561,2007,personal/work,220,5570544
562,2007,culture,220,5570544
563,2007,technology/science,220,5570544
564,2007,personal/work,220,5570544
565,2007,technology/science,114,1520908
566,2007,culture,114,1520908
567,2007,technology/science,114,1520908
568,2007,education,114,1520908
569,2007,technology/science,114,1520908
570,2007,technology/science,114,1520908
571,2007,personal/work,114,1520908
572,2007,technology/science,114,1520908
573,2007,personal/work,88,2138907
574,2007,technology/science,88,2138907
575,2007,culture,88,2138907
576,2007,technology/science,88,2138907
577,2007,personal/work,88,2138907
578,2007,technology/science,88,2138907
579,2007,personal/work,130,680134
580,2007,technology/science,130,680134
581,2007,technology/science,130,680134
582,2007,education,130,680134
583,2007,technology/science,130,680134
584,2007,technology/science,130,680134
585,2007,technology/science,130,680134
586,2007,technology/science,130,680134
587,2007,technology/science,130,680134
588,2007,technology/science,130,680134
589,2007,technology/science,130,680134
590,2007,technology/science,49,690928
591,2007,personal/work,49,690928
592,2007,technology/science,49,690928
593,2007,personal/work,49,690928
594,2007,culture,49,690928
595,2007,technology/science,49,690928
596,2007,technology/science,49,690928
597,2007,technology/science,49,690928
598,2007,technology/science,49,690928
599,2007,personal/work,86,1762302
600,2007,culture,86,1762302
601,2007,technology/science,86,1762302
602,2007,personal/work,86,1762302
603,2007,technology/science,86,1762302
604,2007,environment/nature,107,1392010
605,2007,personal/work,107,1392010
606,2007,technology/science,107,1392010
607,2007,personal/work,107,1392010
608,2007,culture,107,1392010
609,2007,technology/science,107,1392010
610,2007,environment/nature,107,1392010
611,2007,technology/science,107,1392010
612,2007,technology/science,107,1392010
613,2007,technology/science,107,1392010
614,2007,technology/science,50,660909
615,2007,technology/science,50,660909
616,2007,culture,50,660909
617,2007,society,50,660909
618,2007,society,50,660909
619,2007,culture,78,867495
620,2007,personal/work,78,867495
621,2007,society,78,867495
622,2007,society,78,867495
623,2007,society,78,867495
624,2007,society,78,867495
625,2007,society,78,867495
626,2007,society,78,867495
627,2007,culture,40,395769
628,2007,culture,40,395769
629,2007,culture,40,395769
630,2007,culture,40,395769
631,2007,society,40,395769
632,2007,culture,40,395769
633,2007,personal/work,27,761930
634,2007,society,27,761930
635,2007,society,27,761930
636,2007,technology/science,27,761930
637,2007,technology/science,84,1149090
638,2007,personal/work,84,1149090
639,2007,culture,84,1149090
640,2007,personal/work,84,1149090
641,2007,technology/science,84,1149090
642,2007,personal/work,84,1149090
643,2007,technology/science,131,762264
644,2007,culture,131,762264
645,2007,technology/science,131,762264
646,2007,technology/science,131,762264
647,2007,personal/work,131,762264
648,2007,technology/science,131,762264
649,2007,technology/science,131,762264
650,2007,technology/science,127,1920434
651,2007,environment/nature,127,1920434
652,2007,technology/science,127,1920434
653,2007,environment/nature,127,1920434
654,2007,technology/science,127,1920434
655,2007,environment/nature,127,1920434
656,2007,technology/science,127,1920434
657,2007,environment/nature,127,1920434
658,2007,technology/science,127,1920434
659,2007,technology/science,127,1920434
660,2007,technology/science,34,560904
661,2007,environment/nature,34,560904
662,2007,technology/science,34,560904
663,2007,technology/science,34,560904
664,2007,technology/science,34,560904
665,2007,technology/science,34,560904
666,2007,technology/science,34,560904
667,2007,technology/science,34,560904
668,2007,environment/nature,34,560904
669,2007,technology/science,34,560904
670,2007,society,34,560904
671,2007,culture,47,606311
672,2007,culture,47,606311
673,2007,society,47,606311
674,2007,culture,47,606311
675,2007,culture,47,606311
676,2007,society,47,606311
677,2007,society,47,606311
678,2007,environment/nature,335,2197377
679,2007,environment/nature,335,2197377
680,2007,society,335,2197377
681,2007,culture,335,2197377
682,2007,society,335,2197377
683,2007,society,335,2197377
684,2007,personal/work,335,2197377
685,2007,education,335,2197377
686,2007,environment/nature,143,1697185
687,2007,culture,143,1697185
688,2007,society,143,1697185
689,2007,society,143,1697185
690,2007,environment/nature,143,1697185
691,2007,environment/nature,143,1697185
692,2007,society,143,1697185
693,2007,personal/work,143,1697185
694,2007,society,57,1115081
695,2007,environment/nature,57,1115081
696,2007,environment/nature,57,1115081
697,2007,society,57,1115081
698,2007,society,57,1115081
699,2007,society,57,1115081
700,2007,environment/nature,39,591379
701,2007,environment/nature,39,591379
702,2007,culture,39,591379
703,2007,culture,39,591379
704,2007,culture,39,591379
705,2007,culture,39,591379
706,2007,culture,34,398713
707,2007,culture,34,398713
708,2007,culture,34,398713
709,2007,culture,34,398713
710,2007,culture,34,398713
711,2007,personal/work,501,2676717
712,2007,personal/work,501,2676717
713,2007,personal/work,501,2676717
714,2007,culture,501,2676717
715,2007,culture,501,2676717
716,2007,personal/work,501,2676717
717,2007,personal/work,501,2676717
718,2007,technology/science,501,2676717
719,2007,personal/work,296,4165572
720,2007,culture,296,4165572
721,2007,culture,296,4165572
722,2007,culture,296,4165572
723,2007,culture,296,4165572
724,2007,society,231,1426390
725,2007,personal/work,231,1426390
726,2007,society,231,1426390
727,2007,society,231,1426390
728,2007,culture,231,1426390
729,2007,society,231,1426390
730,2007,environment/nature,231,1426390
731,2007,society,231,1426390
732,2007,society,231,1426390
733,2007,society,231,1426390
734,2007,personal/work,58,754700
735,2007,society,58,754700
736,2007,personal/work,58,754700
737,2007,society,58,754700
738,2007,education,58,754700
739,2007,education,58,754700
740,2007,society,58,754700
741,2007,society,58,754700
742,2007,technology/science,58,754700
743,2007,culture,58,643078
744,2007,personal/work,58,643078
745,2007,culture,58,643078
746,2007,technology/science,58,643078
747,2007,education,58,643078
748,2007,personal/work,58,643078
749,2007,personal/work,75,513672
750,2007,culture,75,513672
751,2007,culture,75,513672
752,2007,personal/work,75,513672
753,2007,culture,75,513672
754,2007,culture,75,513672
755,2007,culture,75,513672
756,2007,personal/work,50,428351
757,2007,culture,50,428351
758,2007,culture,50,428351
759,2007,culture,50,428351
760,2007,culture,50,428351
761,2007,culture,50,428351
762,2007,culture,50,428351
763,2007,personal/work,50,428351
764,2007,culture,50,428351
765,2007,culture,588,616385
766,2007,culture,588,616385
767,2007,technology/science,588,616385
768,2007,technology/science,588,616385
769,2007,environment/nature,588,616385
770,2007,technology/science,588,616385
771,2007,culture,588,616385
772,2007,culture,6404,4374792
773,2007,culture,6404,4374792
774,2007,culture,6404,4374792
775,2007,culture,6404,4374792
776,2007,technology/science,6404,4374792
777,2007,culture,49,609087
778,2007,culture,49,609087
779,2007,culture,49,609087
780,2007,culture,49,609087
781,2007,culture,39,443180
782,2007,culture,39,443180
783,2007,culture,39,443180
784,2007,culture,39,443180
785,2007,personal/work,42,904520
786,2007,culture,42,904520
787,2007,technology/science,42,904520
788,2007,culture,42,904520
789,2007,technology/science,42,904520
790,2007,technology/science,42,904520
791,2007,culture,67,717002
792,2007,education,67,717002
793,2007,culture,67,717002
794,2007,culture,67,717002
795,2007,culture,67,717002
796,2007,culture,67,717002
797,2007,technology/science,56,1451846
798,2007,personal/work,56,1451846
799,2007,personal/work,56,1451846
800,2007,personal/work,56,1451846
801,2007,culture,56,1451846
802,2007,technology/science,56,1451846
803,2007,technology/science,56,1451846
804,2007,technology/science,56,1451846
805,2007,culture,72,577502
806,2007,culture,72,577502
807,2007,culture,72,577502
808,2007,culture,72,577502
809,2007,culture,72,577502
810,2007,technology/science,72,577502
811,2007,technology/science,72,577502
812,2007,culture,72,577502
813,2007,environment/nature,328,1683456
814,2007,technology/science,328,1683456
815,2007,technology/science,328,1683456
816,2007,technology/science,328,1683456
817,2007,technology/science,328,1683456
818,2007,culture,328,1683456
819,2007,technology/science,328,1683456
820,2007,environment/nature,328,1683456
821,2007,technology/science,328,1683456
822,2007,personal/work,32,779873
823,2007,personal/work,32,779873
824,2007,culture,32,779873
825,2007,technology/science,32,779873
826,2007,education,32,779873
827,2007,technology/science,32,779873
828,2007,society,32,779873
829,2007,environment/nature,32,779873
830,2007,personal/work,99,940913
831,2007,personal/work,99,940913
832,2007,society,99,940913
833,2007,culture,99,940913
834,2007,society,99,940913
835,2007,society,99,940913
836,2007,society,99,940913
837,2007,society,99,940913
838,2007,society,99,940913
839,2007,society,230,1371482
840,2007,personal/work,230,1371482
841,2007,society,230,1371482
842,2007,technology/science,230,1371482
843,2007,personal/work,230,1371482
844,2007,personal/work,230,1371482
845,2007,technology/science,230,1371482
846,2007,technology/science,230,1371482
847,2007,environment/nature,87,870412
848,2007,environment/nature,87,870412
849,2007,environment/nature,87,870412
850,2007,environment/nature,87,870412
851,2007,environment/nature,87,870412
852,2007,technology/science,87,870412
853,2007,environment/nature,87,870412
854,2007,technology/science,87,870412
855,2007,technology/science,87,870412
856,2007,personal/work,260,4772595
857,2007,technology/science,260,4772595
858,2007,technology/science,260,4772595
859,2007,technology/science,260,4772595
860,2007,technology/science,260,4772595
861,2007,technology/science,260,4772595
862,2007,technology/science,260,4772595
863,2007,technology/science,260,4772595
864,2007,environment/nature,295,805111
865,2007,environment/nature,295,805111
866,2007,technology/science,295,805111
867,2007,environment/nature,295,805111
868,2007,technology/science,295,805111
869,2007,technology/science,295,805111
870,2007,technology/science,295,805111
871,2007,personal/work,127,1044185
872,2007,personal/work,127,1044185
873,2007,technology/science,127,1044185
874,2007,society,127,1044185
875,2007,society,127,1044185
876,2007,personal/work,127,1044185
877,2007,society,124,1479503
878,2007,society,124,1479503
879,2007,society,124,1479503
880,2007,society,124,1479503
881,2007,culture,220,1493606
882,2007,culture,220,1493606
883,2007,culture,220,1493606
884,2007,society,220,1493606
885,2007,personal/work,220,1493606
886,2007,society,220,1493606
887,2007,culture,220,1493606
888,2007,society,14,404402
889,2007,society,14,404402
890,2007,technology/science,14,404402
891,2007,personal/work,14,404402
892,2007,culture,14,404402
893,2007,technology/science,14,404402
894,2007,technology/science,14,404402
895,2007,technology/science,14,404402
896,2007,personal/work,14,404402
897,2007,personal/work,14,404402
898,2007,technology/science,14,404402
899,2007,culture,305,1136037
900,2007,technology/science,305,1136037
901,2007,technology/science,305,1136037
902,2007,technology/science,305,1136037
903,2007,technology/science,305,1136037
904,2007,technology/science,305,1136037
905,2007,technology/science,305,1136037
906,2007,culture,27,384641
907,2007,personal/work,27,384641
908,2007,culture,27,384641
909,2007,culture,27,384641
910,2007,culture,27,384641
911,2007,culture,27,384641
912,2007,culture,27,384641
913,2007,technology/science,22,308879
914,2007,education,22,308879
915,2007,technology/science,22,308879
916,2007,technology/science,22,308879
917,2007,technology/science,22,308879
918,2007,technology/science,261,3243784
919,2007,technology/science,261,3243784
920,2007,technology/science,261,3243784
921,2007,technology/science,261,3243784
922,2007,technology/science,261,3243784
923,2007,society,261,3243784
924,2007,society,261,3243784
925,2007,society,261,3243784
926,2007,society,261,3243784
927,2007,society,261,3243784
928,2007,technology/science,261,3243784
929,2007,society,240,1801117
930,2007,society,240,1801117
931,2007,society,240,1801117
932,2007,society,240,1801117
933,2007,environment/nature,240,1801117
934,2007,society,240,1801117
935,2007,society,240,1801117
936,2007,society,240,1801117
937,2007,society,240,1801117
938,2007,personal/work,392,1596067
939,2007,culture,392,1596067
940,2007,personal/work,392,1596067
941,2007,society,392,1596067
942,2007,society,392,1596067
943,2007,culture,392,1596067
944,2007,society,150,1427723
945,2007,society,150,1427723
946,2007,society,150,1427723
947,2007,technology/science,150,1427723
948,2007,technology/science,150,1427723
949,2007,technology/science,150,1427723
950,2007,technology/science,150,1427723
951,2007,technology/science,145,1049727
952,2007,culture,145,1049727
953,2007,technology/science,145,1049727
954,2007,technology/science,145,1049727
955,2007,technology/science,145,1049727
956,2007,technology/science,136,854967
